endpoint,score_method,top_k,canonical_auc,canonical_aupr,canonical_fpr95,canonical_tpr_at_fpr05,variant_auc,variant_aupr,variant_fpr95,variant_tpr_at_fpr05,delta_auc_variant_minus_canonical,delta_aupr_variant_minus_canonical,delta_fpr95_variant_minus_canonical,topk_jaccard,effect_corr_pearson,score_corr_id,score_corr_ood,n_match_id,n_match_ood,canonical_top_features,variant_top_features
mask_free,all_mean_abs_z,20,0.8560406031801913,0.7558297956394293,0.5222672064777328,0.3333333333333333,0.9192043654286217,0.8694063257223963,0.41700404858299595,0.6521739130434783,0.06316376224843046,0.11357653008296698,-0.10526315789473689,0.48148148148148145,0.7231894921281697,0.45675721975105976,0.5872002319541937,247,138,"grad_cam_attribution_abs_mean_log10,grad_cam_attribution_abs_sum_log10,grad_cam_coverage_q_0.10,grad_cam_attribution_abs_sum,grad_cam_attribution_abs_mean,grad_cam_hist_entropy,coverage_q_0.10,hist_bin_02,grad_cam_coverage_auc,hist_bin_00,grad_cam_hist_bin_00,hist_entropy,grad_cam_coverage_q_0.20,coverage_auc,hist_bin_03,coverage_q_0.20,hist_bin_01,coverage_q_0.90,coverage_q_0.30,hist_bin_04","coverage_q_0.50,coverage_q_0.40,coverage_q_0.60,coverage_q_0.30,coverage_auc,coverage_q_0.20,coverage_q_0.70,coverage_q_0.10,grad_cam_coverage_q_0.10,coverage_q_0.80,grad_cam_attribution_abs_mean_log10,grad_cam_attribution_abs_sum_log10,grad_cam_attribution_abs_sum,grad_cam_attribution_abs_mean,hist_bin_01,attribution_abs_sum_log10,attribution_abs_mean_log10,grad_cam_coverage_q_0.20,grad_cam_coverage_auc,grad_cam_hist_bin_00"
predicted_mask,all_mean_abs_z,20,0.8964384204658804,0.8367354260284118,0.38866396761133604,0.5362318840579711,0.8490876019480138,0.7713486894949481,0.659919028340081,0.4782608695652174,-0.0473508185178666,-0.06538673653346372,0.27125506072874495,0.5384615384615384,0.7758548334050089,0.5624717868517451,0.5772606589897948,247,138,"component_border_fraction,grad_cam_attribution_abs_mean_log10,grad_cam_attribution_abs_sum_log10,component_border_mass_fraction,grad_cam_coverage_q_0.10,component_count,grad_cam_attribution_abs_mean,grad_cam_attribution_abs_sum,coverage_q_0.10,coverage_auc,grad_cam_border_signed_sum,grad_cam_border_abs_sum,grad_cam_hist_entropy,grad_cam_component_mean_size,border_signed_sum,hist_bin_02,grad_cam_coverage_auc,hist_bin_00,grad_cam_hist_bin_00,predicted_mask_coverage","grad_cam_coverage_q_0.10,grad_cam_attribution_abs_mean_log10,grad_cam_attribution_abs_sum_log10,grad_cam_border_abs_sum,grad_cam_border_signed_sum,grad_cam_attribution_abs_sum,grad_cam_attribution_abs_mean,hist_bin_01,attribution_abs_sum_log10,attribution_abs_mean_log10,coverage_q_0.10,grad_cam_coverage_q_0.20,grad_cam_coverage_auc,grad_cam_hist_bin_00,predicted_mask_coverage,grad_cam_hist_entropy,coverage_auc,grad_cam_border_pixel_count,border_pixel_count,component_count"
