endpoint,seed,n_id,n_ood,auroc,auroc_ci_low,auroc_ci_high,auroc_ci_width,aupr,aupr_ci_low,aupr_ci_high,aupr_ci_width,fpr95,ece,brier,effect_size_d,power,top_features
mask_free,42,283,283,0.5122676022924496,0.46586828403401215,0.5587992733084444,0.09293098927443222,0.5177554440574977,0.4757532543719458,0.5645684252880782,0.08881517091613234,0.9611307420494699,0.31053744435764846,0.3567072602305794,0.04643309063336506,0.0796210918970583,"hist_bin_27,hist_bin_15,hist_bin_18,hist_bin_23,hist_bin_10,attribution_abs_mean_log10,attribution_abs_sum_log10,grad_cam_coverage_q_0.10,hist_bin_08,grad_cam_attribution_abs_mean_log10"
mask_free,43,283,283,0.5122676022924496,0.4639669617550475,0.5602542171833834,0.09628725542833594,0.5177554440574977,0.4804022360271202,0.5634247862421311,0.08302255021501093,0.9611307420494699,0.31053744435764846,0.3567072602305794,0.04643309063336506,0.0796210918970583,"hist_bin_27,hist_bin_15,hist_bin_18,hist_bin_23,hist_bin_10,attribution_abs_mean_log10,attribution_abs_sum_log10,grad_cam_coverage_q_0.10,hist_bin_08,grad_cam_attribution_abs_mean_log10"
mask_free,44,283,283,0.5122676022924496,0.46683033874814267,0.5552653922511206,0.08843505350297792,0.5177554440574977,0.47849248887994184,0.5635142509744867,0.08502176209454487,0.9611307420494699,0.31053744435764846,0.3567072602305794,0.04643309063336506,0.0796210918970583,"hist_bin_27,hist_bin_15,hist_bin_18,hist_bin_23,hist_bin_10,attribution_abs_mean_log10,attribution_abs_sum_log10,grad_cam_coverage_q_0.10,hist_bin_08,grad_cam_attribution_abs_mean_log10"
mask_free,45,283,283,0.5122676022924496,0.46707881232129256,0.5575378641261597,0.09045905180486713,0.5177554440574977,0.48020143830656226,0.5656850375822159,0.08548359927565363,0.9611307420494699,0.31053744435764846,0.3567072602305794,0.04643309063336506,0.0796210918970583,"hist_bin_27,hist_bin_15,hist_bin_18,hist_bin_23,hist_bin_10,attribution_abs_mean_log10,attribution_abs_sum_log10,grad_cam_coverage_q_0.10,hist_bin_08,grad_cam_attribution_abs_mean_log10"
mask_free,46,283,283,0.5122676022924496,0.4605601268588695,0.5612084680792618,0.10064834122039235,0.5177554440574977,0.479785730694759,0.5662106106161785,0.0864248799214195,0.9611307420494699,0.31053744435764846,0.3567072602305794,0.04643309063336506,0.0796210918970583,"hist_bin_27,hist_bin_15,hist_bin_18,hist_bin_23,hist_bin_10,attribution_abs_mean_log10,attribution_abs_sum_log10,grad_cam_coverage_q_0.10,hist_bin_08,grad_cam_attribution_abs_mean_log10"
predicted_mask,42,283,283,0.5043638951666272,0.4585461174443432,0.5521035972480615,0.09355747980371826,0.5089483017129302,0.470398879347794,0.5560576128436029,0.08565873349580888,0.9717314487632509,0.2873671326954472,0.3441658259451051,0.01755092648840344,0.039956671816311164,"component_median_size,grad_cam_component_largest_size,hist_bin_27,hist_bin_15,component_count,hist_bin_18,component_mean_size,hist_bin_23,hist_bin_10,grad_cam_border_pixel_count"
predicted_mask,43,283,283,0.5043638951666272,0.45637884103934373,0.5509648640887013,0.09458602304935754,0.5089483017129302,0.47178874374285634,0.5538726733168344,0.08208392957397809,0.9717314487632509,0.2873671326954472,0.3441658259451051,0.01755092648840344,0.039956671816311164,"component_median_size,grad_cam_component_largest_size,hist_bin_27,hist_bin_15,component_count,hist_bin_18,component_mean_size,hist_bin_23,hist_bin_10,grad_cam_border_pixel_count"
predicted_mask,44,283,283,0.5043638951666272,0.4578163043613979,0.5489880008490554,0.0911716964876575,0.5089483017129302,0.4721747166029698,0.5537385777950244,0.08156386119205467,0.9717314487632509,0.2873671326954472,0.3441658259451051,0.01755092648840344,0.039956671816311164,"component_median_size,grad_cam_component_largest_size,hist_bin_27,hist_bin_15,component_count,hist_bin_18,component_mean_size,hist_bin_23,hist_bin_10,grad_cam_border_pixel_count"
predicted_mask,45,283,283,0.5043638951666272,0.460992146237311,0.5499385059121727,0.08894635967486175,0.5089483017129302,0.4724960647412231,0.5545999323927845,0.08210386765156141,0.9717314487632509,0.2873671326954472,0.3441658259451051,0.01755092648840344,0.039956671816311164,"component_median_size,grad_cam_component_largest_size,hist_bin_27,hist_bin_15,component_count,hist_bin_18,component_mean_size,hist_bin_23,hist_bin_10,grad_cam_border_pixel_count"
predicted_mask,46,283,283,0.5043638951666272,0.4520427274656944,0.5536425102073942,0.10159978274169978,0.5089483017129302,0.4717958493566635,0.5586354897376166,0.08683964038095304,0.9717314487632509,0.2873671326954472,0.3441658259451051,0.01755092648840344,0.039956671816311164,"component_median_size,grad_cam_component_largest_size,hist_bin_27,hist_bin_15,component_count,hist_bin_18,component_mean_size,hist_bin_23,hist_bin_10,grad_cam_border_pixel_count"
