endpoint,seed,type,sample_id,shift_score,dice,dice_drop,risk_rank
predicted_mask,42,high_shift_high_drop,MCUCXR_0251_1,2.4135418464242364,0.7862775955918597,0.19410491030857058,2.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0002_0,1.837401082906548,0.8163077542353938,0.1640747516650365,7.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0117_1,1.7677965035292618,0.8589217919530527,0.12146071394737756,11.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0311_1,1.4942691962142745,0.8449006853315586,0.1354818205688717,16.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0203_1,1.5047995725637597,0.8989606824206706,0.08142182347975968,22.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0061_0,1.5170613173175103,0.899731581551534,0.08065092434889631,22.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0080_0,1.5178559336330157,0.9171974522309073,0.06318505366952298,27.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0126_1,1.3725603440785081,0.8546145659129835,0.12576793998744684,27.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0309_1,1.3423599810601428,0.8142935528146188,0.1660889530858115,28.0
predicted_mask,42,high_shift_high_drop,MCUCXR_0140_1,1.4088982122644171,0.9145143988785006,0.06586810702192969,34.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0099_0,0.7310119220600171,0.9806594953392305,-0.00027698943880016813,264.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0069_0,0.6227646051574774,0.9745270275672829,0.005855478333147368,264.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0030_0,0.6533462552707054,0.9747767342232673,0.0056057716771630295,263.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0090_0,0.5088648141839562,0.9718881727612081,0.00849433313922221,257.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0083_0,0.6297854325637736,0.9709289712329087,0.009453534667521635,253.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0254_1,0.5506776100982981,0.9700249268604723,0.010357579039958043,251.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0218_1,0.7228099332307796,0.9729102286181994,0.007472277282230877,248.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0102_0,0.7819048462684219,0.9733733572404095,0.007009148660020781,246.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0085_0,0.8683261152758617,0.9747952719409109,0.005587233959519433,244.0
predicted_mask,42,low_shift_low_drop,MCUCXR_0063_0,0.8883913240843906,0.9782706617900734,0.0021118441103569197,242.0
mask_free,42,high_shift_high_drop,MCUCXR_0251_1,2.078125861888915,0.7862775955918597,0.19410491030857058,2.0
mask_free,42,high_shift_high_drop,MCUCXR_0002_0,1.623857624805913,0.8163077542353938,0.1640747516650365,7.0
mask_free,42,high_shift_high_drop,MCUCXR_0117_1,1.5205945462092336,0.8589217919530527,0.12146071394737756,11.0
mask_free,42,high_shift_high_drop,MCUCXR_0311_1,1.251518833072909,0.8449006853315586,0.1354818205688717,16.0
mask_free,42,high_shift_high_drop,MCUCXR_0203_1,1.2261115080732083,0.8989606824206706,0.08142182347975968,26.0
mask_free,42,high_shift_high_drop,MCUCXR_0080_0,1.2888387386719429,0.9171974522309073,0.06318505366952298,27.0
mask_free,42,high_shift_high_drop,MCUCXR_0258_1,1.0917462412819912,0.8068604713903396,0.17352203451009074,29.0
mask_free,42,high_shift_high_drop,MCUCXR_0140_1,1.2027464271552004,0.9145143988785006,0.06586810702192969,32.0
mask_free,42,high_shift_high_drop,MCUCXR_0309_1,1.0842146519430196,0.8142935528146188,0.1660889530858115,32.0
mask_free,42,high_shift_high_drop,MCUCXR_0061_0,1.1764021846624673,0.899731581551534,0.08065092434889631,33.0
mask_free,42,low_shift_low_drop,MCUCXR_0069_0,0.44037591773175905,0.9745270275672829,0.005855478333147368,265.0
mask_free,42,low_shift_low_drop,MCUCXR_0030_0,0.5510235891243341,0.9747767342232673,0.0056057716771630295,262.0
mask_free,42,low_shift_low_drop,MCUCXR_0099_0,0.6477066326956085,0.9806594953392305,-0.00027698943880016813,262.0
mask_free,42,low_shift_low_drop,MCUCXR_0090_0,0.4202928251553227,0.9718881727612081,0.00849433313922221,257.0
mask_free,42,low_shift_low_drop,MCUCXR_0083_0,0.5372170810535729,0.9709289712329087,0.009453534667521635,253.0
mask_free,42,low_shift_low_drop,MCUCXR_0254_1,0.4950870835020935,0.9700249268604723,0.010357579039958043,250.0
mask_free,42,low_shift_low_drop,MCUCXR_0218_1,0.6457167084522434,0.9729102286181994,0.007472277282230877,246.0
mask_free,42,low_shift_low_drop,MCUCXR_0102_0,0.6555069699568589,0.9733733572404095,0.007009148660020781,246.0
mask_free,42,low_shift_low_drop,MCUCXR_0085_0,0.7532704629393678,0.9747952719409109,0.005587233959519433,242.0
mask_free,42,low_shift_low_drop,MCUCXR_0095_0,0.6492013682658996,0.9706836353120627,0.009698870588367603,240.0
