endpoint,seed,n_all,n_ood,pearson_all,pearson_all_p,spearman_all,spearman_all_p,pearson_ood,pearson_ood_p,spearman_ood,spearman_ood_p,id_dice_mean,ood_dice_mean,ood_dice_drop_mean,id_shift_mean,ood_shift_mean
predicted_mask,42,385,138,0.6323289461784195,2.216107850961805e-44,0.5747381989771886,3.172681366590472e-35,0.5642150004761356,5.742508758808059e-13,0.5489247446853687,3.153810510433249e-12,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.6600579256213253,1.1030220682063614
predicted_mask,43,385,138,0.6323259143892661,2.2188312168315337e-44,0.5747381989771886,3.172681366590472e-35,0.5642151325931714,5.742422068351091e-13,0.5489247446853687,3.153810510433249e-12,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.6600554556717635,1.103022140682943
predicted_mask,44,385,138,0.6323289560976431,2.2160989462572594e-44,0.5747381989771886,3.172681366590472e-35,0.5642150020276369,5.742507740761175e-13,0.5489247446853687,3.153810510433249e-12,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.6600578883489312,1.1030220420809358
predicted_mask,45,385,138,0.6323289705447229,2.2160859768602649e-44,0.5747381989771886,3.172681366590472e-35,0.5642149925964111,5.742513929240546e-13,0.5489247446853687,3.153810510433249e-12,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.6600579019650631,1.1030220718670614
predicted_mask,46,385,138,0.6323257859811274,2.2189466352141079e-44,0.5747381989771886,3.172681366590472e-35,0.5642151341697907,5.742421033837779e-13,0.5489247446853687,3.153810510433249e-12,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.6600552469102826,1.1030221630656056
mask_free,42,385,138,0.5756158003804652,2.3730263561649688e-35,0.5132269446874369,2.9601068661211383e-27,0.5332751504160416,1.6524883133257135e-11,0.499992008931731,4.274710609981188e-10,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.5978081643883845,0.9340063713818706
mask_free,43,385,138,0.5756159477300633,2.372910475613276e-35,0.5132269446874369,2.9601068661211383e-27,0.5332751424424185,1.6524896722507815e-11,0.499992008931731,4.274710609981188e-10,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.597808362496061,0.9340063025769985
mask_free,44,385,138,0.5756159511399883,2.372907794002825e-35,0.5132269446874369,2.9601068661211383e-27,0.5332751484101573,1.6524886551835714e-11,0.499992008931731,4.274710609981188e-10,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.597808362451701,0.9340063119692361
mask_free,45,385,138,0.575615919006714,2.372933064156788e-35,0.5132059164928335,2.9768832836842724e-27,0.5332751533541774,1.6524878125866665e-11,0.49977282534492873,4.3622879001558516e-10,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.5978083487272609,0.9340062667679943
mask_free,46,385,138,0.5756159245504383,2.3729287044585503e-35,0.5132269446874369,2.9601068661211383e-27,0.5332752139462389,1.652477486068333e-11,0.499992008931731,4.274710609981188e-10,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.5978083719278162,0.9340061312824102
