endpoint,seed,n_all,n_ood,pearson_all,pearson_all_p,spearman_all,spearman_all_p,pearson_ood,pearson_ood_p,spearman_ood,spearman_ood_p,id_dice_mean,ood_dice_mean,ood_dice_drop_mean,id_shift_mean,ood_shift_mean
predicted_mask,42,385,138,0.7199795014406114,9.800607291900748e-63,0.7151773097368952,1.4989368864142094e-61,0.5277080111813853,2.9190017762550266e-11,0.5874873569884175,3.610978154795987e-14,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7833279424987922,3.372416446903998
predicted_mask,43,385,138,0.7199795014406114,9.800607291900748e-63,0.7151773097368952,1.4989368864142094e-61,0.5277080111813853,2.9190017762550266e-11,0.5874873569884175,3.610978154795987e-14,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7833279424987922,3.372416446903998
predicted_mask,44,385,138,0.7199795014406114,9.800607291900748e-63,0.7151773097368952,1.4989368864142094e-61,0.5277080111813853,2.9190017762550266e-11,0.5874873569884175,3.610978154795987e-14,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7833279424987922,3.372416446903998
predicted_mask,45,385,138,0.7199795014406114,9.800607291900748e-63,0.7151773097368952,1.4989368864142094e-61,0.5277080111813853,2.9190017762550266e-11,0.5874873569884175,3.610978154795987e-14,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7833279424987922,3.372416446903998
predicted_mask,46,385,138,0.7199795014406114,9.800607291900748e-63,0.7151773097368952,1.4989368864142094e-61,0.5277080111813853,2.9190017762550266e-11,0.5874873569884175,3.610978154795987e-14,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7833279424987922,3.372416446903998
mask_free,42,385,138,0.604151189005461,1.1437066238260512e-39,0.6235665079738913,7.290229302063056e-43,0.38190835912898,3.7999927730211614e-06,0.3206267737317604,0.00012608767034495157,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7801324631294521,2.5570315090402373
mask_free,43,385,138,0.604151189005461,1.1437066238260512e-39,0.6235665079738913,7.290229302063056e-43,0.38190835912898,3.7999927730211614e-06,0.3206267737317604,0.00012608767034495157,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7801324631294521,2.5570315090402373
mask_free,44,385,138,0.604151189005461,1.1437066238260512e-39,0.6235665079738913,7.290229302063056e-43,0.38190835912898,3.7999927730211614e-06,0.3206267737317604,0.00012608767034495157,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7801324631294521,2.5570315090402373
mask_free,45,385,138,0.604151189005461,1.1437066238260512e-39,0.6235665079738913,7.290229302063056e-43,0.38190835912898,3.7999927730211614e-06,0.3206267737317604,0.00012608767034495157,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7801324631294521,2.5570315090402373
mask_free,46,385,138,0.604151189005461,1.1437066238260512e-39,0.6235665079738913,7.290229302063056e-43,0.38190835912898,3.7999927730211614e-06,0.3206267737317604,0.00012608767034495157,0.9803825059004303,0.9457849436041019,0.03459756229632838,0.7801324631294521,2.5570315090402373
