endpoint,seed,n_id,n_ood,auroc,auroc_ci_low,auroc_ci_high,auroc_ci_width,aupr,aupr_ci_low,aupr_ci_high,aupr_ci_width,fpr95,ece,brier,effect_size_d,power,top_features
mask_free,42,283,283,0.5233302950467604,0.47616901197417877,0.5684909912722096,0.09232197929803082,0.5324240496885331,0.49085448022081485,0.5784145123668121,0.08756003214599722,0.9399293286219081,0.32054922677328673,0.3585756208936972,0.11229658389308417,0.2662633070903776,"attribution_abs_mean,attribution_abs_sum,attribution_abs_sum_log10,attribution_abs_mean_log10,coverage_q_0.90,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
mask_free,43,283,283,0.5233302950467604,0.47433449037945286,0.5690672252119517,0.09473273483249889,0.5324240496885331,0.49212591101039904,0.580162305080784,0.088036394070385,0.9399293286219081,0.32054922677328673,0.3585756208936972,0.11229658389308417,0.2662633070903776,"attribution_abs_mean,attribution_abs_sum,attribution_abs_sum_log10,attribution_abs_mean_log10,coverage_q_0.90,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
mask_free,44,283,283,0.5233302950467604,0.47613155364656823,0.5711848693328672,0.09505331568629893,0.5324240496885331,0.4921110243367537,0.5755221894216199,0.08341116508486623,0.9399293286219081,0.32054922677328673,0.3585756208936972,0.11229658389308417,0.2662633070903776,"attribution_abs_mean,attribution_abs_sum,attribution_abs_sum_log10,attribution_abs_mean_log10,coverage_q_0.90,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
mask_free,45,283,283,0.5233302950467604,0.4767911323652437,0.5693341157961768,0.09254298343093309,0.5324240496885331,0.49260680808127066,0.5795893613725934,0.08698255329132276,0.9399293286219081,0.32054922677328673,0.3585756208936972,0.11229658389308417,0.2662633070903776,"attribution_abs_mean,attribution_abs_sum,attribution_abs_sum_log10,attribution_abs_mean_log10,coverage_q_0.90,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
mask_free,46,283,283,0.5233302950467604,0.47551255478280413,0.56870575235051,0.09319319756770589,0.5324240496885331,0.4920608148463705,0.581569950850147,0.08950913600377647,0.9399293286219081,0.32054922677328673,0.3585756208936972,0.11229658389308417,0.2662633070903776,"attribution_abs_mean,attribution_abs_sum,attribution_abs_sum_log10,attribution_abs_mean_log10,coverage_q_0.90,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
predicted_mask,42,283,283,0.5221066563448163,0.47526252044600387,0.5681782142366617,0.09291569379065784,0.5295709927747481,0.4894336231081454,0.5751738248203279,0.08574020171218244,0.9328621908127208,0.3208482551851777,0.35909622193338114,0.10194218248645158,0.2274342259165456,"border_abs_sum,attribution_abs_sum,attribution_abs_mean,attribution_abs_sum_log10,attribution_abs_mean_log10,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
predicted_mask,43,283,283,0.5221066563448163,0.4730846308481814,0.5654843361760041,0.09239970532782271,0.5295709927747481,0.4889219091692512,0.5773235544586292,0.08840164528937794,0.9328621908127208,0.3208482551851777,0.35909622193338114,0.10194218248645158,0.2274342259165456,"border_abs_sum,attribution_abs_sum,attribution_abs_mean,attribution_abs_sum_log10,attribution_abs_mean_log10,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
predicted_mask,44,283,283,0.5221066563448163,0.47446840390066053,0.5693609609309643,0.0948925570303038,0.5295709927747481,0.4890556974399353,0.5726852428899597,0.08362954545002438,0.9328621908127208,0.3208482551851777,0.35909622193338114,0.10194218248645158,0.2274342259165456,"border_abs_sum,attribution_abs_sum,attribution_abs_mean,attribution_abs_sum_log10,attribution_abs_mean_log10,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
predicted_mask,45,283,283,0.5221066563448163,0.4765120678245452,0.5689632783528326,0.09245121052828736,0.5295709927747481,0.4903112245735978,0.5770858978894803,0.08677467331588246,0.9328621908127208,0.3208482551851777,0.35909622193338114,0.10194218248645158,0.2274342259165456,"border_abs_sum,attribution_abs_sum,attribution_abs_mean,attribution_abs_sum_log10,attribution_abs_mean_log10,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
predicted_mask,46,283,283,0.5221066563448163,0.474886064253518,0.5685587284146387,0.09367266416112074,0.5295709927747481,0.4904695172121016,0.5769436384944483,0.08647412128234672,0.9328621908127208,0.3208482551851777,0.35909622193338114,0.10194218248645158,0.2274342259165456,"border_abs_sum,attribution_abs_sum,attribution_abs_mean,attribution_abs_sum_log10,attribution_abs_mean_log10,grad_cam_hist_bin_09,grad_cam_hist_bin_10,grad_cam_hist_bin_11,grad_cam_hist_bin_12,grad_cam_hist_bin_07"
